typeURI;assetId.identificator;assetId.toegekendDoor;bron.typeURI;bronAssetId.identificator;bronAssetId.toegekendDoor;doel.typeURI;doelAssetId.identificator;doelAssetId.toegekendDoor;isActief;naam;rol;toestand;geometry
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Wegkantkast;003d1396-08fc-42cd-b85d-20b5e0ec06f2-b25kZXJkZWVsI1dlZ2thbnRrYXN0;AWV;;;;;;;true;A13N0.8.K;;in-gebruik;POINT Z (156243.4 211759.2 0)
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HeeftAanvullendeGeometrie;0f162a27-4af4-4d13-982e-dde34ce45ef3-b25kZXJkZWVsI0hlZWZ0QWFudnVsbGVuZGVHZW9tZXRyaWU;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#ANPRCamera;3f7f312a-b49a-4235-bc11-2b0052158550-b25kZXJkZWVsI0FOUFJDYW1lcmE;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;a53aa676-10e7-44fd-8ec0-7485066b35dd-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;true;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HeeftAanvullendeGeometrie;4a8ed0df-96b5-4522-9756-40ac9c2abeb8-b25kZXJkZWVsI0hlZWZ0QWFudnVsbGVuZGVHZW9tZXRyaWU;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#ANPRCamera;668338dd-5158-4239-bc7b-e70f09f6c507-b25kZXJkZWVsI0FOUFJDYW1lcmE;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;5dbca334-9ce8-4ebe-80c3-01c01dd1844f-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;true;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HeeftBetrokkene;51667874-f868-45d6-9ff6-c00466b6c4fe-b25kZXJkZWVsI0hlZWZ0QmV0cm9ra2VuZQ;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Wegkantkast;003d1396-08fc-42cd-b85d-20b5e0ec06f2-b25kZXJkZWVsI1dlZ2thbnRrYXN0;;http://purl.org/dc/terms/Agent;8a7c6f90-23b8-4170-b6b7-1517b8c8465b-cHVybDpBZ2VudA;;true;;toezichter;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;5dbca334-9ce8-4ebe-80c3-01c01dd1844f-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;;;;;;;true;A3N13.9.M.ANPR;;in-ontwerp;POLYGON Z ((164980.5 172859.4 0,165004.77 172855.89 0,165003 172849.2 0,164980.5 172859.4 0))
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;63c622a1-ea1b-4cea-b647-8e0afd73e381-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;;;;;;;true;A3N13.9.R.ANPR.FOV;;in-ontwerp;POLYGON Z ((164983 172869.1 0,165004.93 172857.96 0,165003.63 172852.68 0,164983 172869.1 0))
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;6a334601-1933-4fc4-95c9-814cece84d6c-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Laagspanningsbord;020f7373-e5a9-41f3-a3d4-50210da3842a-b25kZXJkZWVsI0xhYWdzcGFubmluZ3Nib3Jk;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Wegkantkast;003d1396-08fc-42cd-b85d-20b5e0ec06f2-b25kZXJkZWVsI1dlZ2thbnRrYXN0;AWV;true;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HeeftAanvullendeGeometrie;6c3f59df-b761-4d40-9425-a48f953c40e3-b25kZXJkZWVsI0hlZWZ0QWFudnVsbGVuZGVHZW9tZXRyaWU;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;b1683f9c-1531-448e-b99d-d79673e54598-b25kZXJkZWVsI0NhbWVyYQ;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;87ec67f2-a3b2-4011-91c2-4c6d029d4279-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;true;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;87ec67f2-a3b2-4011-91c2-4c6d029d4279-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;;;;;;;true;A3N13.9.R.FRONT.CAM.FOV;;in-ontwerp;POLYGON Z ((165056.5 172846.7 0,165248.3 172797.17 0,165243.82 172779.64 0,165056.5 172846.7 0))
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HeeftAanvullendeGeometrie;99622baa-0aa6-43e8-b3c0-7421710f297c-b25kZXJkZWVsI0hlZWZ0QWFudnVsbGVuZGVHZW9tZXRyaWU;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#ANPRCamera;eaf2729b-f638-4002-892d-22b24708b64d-b25kZXJkZWVsI0FOUFJDYW1lcmE;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;63c622a1-ea1b-4cea-b647-8e0afd73e381-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;true;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;a53aa676-10e7-44fd-8ec0-7485066b35dd-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;;;;;;;true;A3N13.9.L.ANPR.FOV;;in-ontwerp;POLYGON Z ((164978.3 172851.3 0,165002.85 172848.92 0,165001.17 172842.52 0,164978.3 172851.3 0))
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;d12b283c-a45c-4b18-910c-cf864eda0921-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;;;;;;;true;3N13.9.L.FRONT.CAM.FOV;;in-gebruik;POLYGON Z ((164981.4 172862.9 0,165173.39 172811.96 0,165169.85 172798.02 0,164981.4 172862.9 0))
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;ea69ef01-6fa5-4575-ac47-764ff912d8f2-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;;;;;;;true;A3N13.9.REAR.CAM.FOV;;in-ontwerp;POLYGON Z ((164966.9 172851.1 0,164774.54 172901.02 0,164779.97 172917.61 0,164966.9 172851.1 0))
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HeeftAanvullendeGeometrie;ebd6d261-f416-4071-ba9e-ae8068fc558b-b25kZXJkZWVsI0hlZWZ0QWFudnVsbGVuZGVHZW9tZXRyaWU;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;2324caed-b7f8-4d12-96c5-c5e3419c547c-b25kZXJkZWVsI0NhbWVyYQ;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;ea69ef01-6fa5-4575-ac47-764ff912d8f2-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;true;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HeeftAanvullendeGeometrie;f2fd170b-0f53-4f6f-a355-49db188b9aea-b25kZXJkZWVsI0hlZWZ0QWFudnVsbGVuZGVHZW9tZXRyaWU;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;9e70aba9-ee88-4a6a-8acc-e548a05942b8-b25kZXJkZWVsI0NhbWVyYQ;AWV;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AanvullendeGeometrie;d12b283c-a45c-4b18-910c-cf864eda0921-b25kZXJkZWVsI0FhbnZ1bGxlbmRlR2VvbWV0cmll;AWV;true;;;;
